Id,Name,Authors,Rating,pagesNumber,PublishYear,PublishMonth,PublishDay,Publisher,Language
23,Bryson's Dictionary of Troublesome Words: A Writer's Guide to Getting It Right,Bill Bryson,3.88,256,2004,14,9,Broadway Books,eng
24,In a Sunburned Country,Bill Bryson,4.07,335,2001,15,5,Broadway Books,eng
25,I'm a Stranger Here Myself: Notes on Returning to America After Twenty Years Away,Bill Bryson,3.9,304,2000,28,6,Broadway Books,eng
26,The Lost Continent: Travels in Small Town America,Bill Bryson,3.83,299,1990,28,8,William Morrow Paperbacks,eng
27,Neither Here nor There: Travels in Europe,Bill Bryson,3.86,254,1993,28,3,William Morrow Paperbacks,eng
28,Notes from a Small Island,Bill Bryson,3.92,324,1997,28,5,William Morrow Paperbacks,eng
29,The Mother Tongue: English and How It Got That Way,Bill Bryson,3.93,270,1991,28,9,William Morrow Paperbacks,eng
30,J.R.R. Tolkien 4-Book Boxed Set: The Hobbit and The Lord of the Rings,J.R.R. Tolkien,4.6,1728,2012,25,9,Ballantine Books,eng
31,"The Lord of the Rings (The Lord of the Rings, #1-3)",J.R.R. Tolkien,4.5,1184,2004,21,10,Houghton Mifflin Harcourt,eng
34,"The Fellowship of the Ring (The Lord of the Rings, #1)",J.R.R. Tolkien,4.36,398,2003,5,9,Houghton Mifflin Harcourt,eng
36,The Lord of the Rings: Weapons and Warfare,Chris   Smith,4.53,218,2003,5,11,Houghton Mifflin Harcourt,eng
37,The Lord of the Rings: Complete Visual Companion,Jude Fisher,4.5,224,2004,15,11,Houghton Mifflin Harcourt,eng
38,The Lord of the Rings Box Set,J.R.R. Tolkien,4.5,1223,2001,19,9,Unknown Publisher,eng
45,Agile Web Development with Rails: A Pragmatic Guide,Dave Thomas,3.84,558,2005,28,7,Pragmatic Bookshelf,eng
46,Ruby Quickly: Ruby and Rails for the Real World,Mark   Watson,3.4,360,2006,1,8,Manning Publications,Unknown Language
50,"Hatchet (Brian's Saga, #1)",Gary Paulsen,3.72,208,2000,1,4,Atheneum Books for Young Readers: Richard Jackson Books,eng
51,"Hatchet: A Guide for Using ""Hatchet"" in the Classroom",Donna Ickes,4.0,48,1994,28,8,Teacher Created Resources,eng
53,Guts: The True Stories behind Hatchet and the Brian Books,Gary Paulsen,3.88,144,2001,23,1,Delacorte Press,eng
54,Molly Hatchet - 5 of the Best,Molly Hatchet,4.33,56,2003,10,6,Cherry Lane Music Company,eng
55,Hatchet Jobs: Writings on Contemporary Fiction,Dale Peck,3.46,228,2005,1,11,The New Press,en-US
56,The Woodsman and His Hatchet: Eighty Years on Back Country Survival,Bud Cheff Sr.,3.6,150,1996,1,10,Stoneydale Press,Unknown Language
57,A Changeling for All Seasons (Changeling Seasons #1),Angela Knight,3.76,304,2005,1,11,Changeling Press,eng
58,"Changeling (Changeling, #1)",Delia Sherman,3.6,256,2006,17,8,Viking Juvenile,eng
59,The Changeling Sea,Patricia A. McKillip,4.06,137,2003,14,4,Firebird,eng
61,The Changeling,Zilpha Keatley Snyder,4.17,228,2004,8,6,iUniverse,eng
65,"Shadows in the Starlight (Changeling Detective, #2)",Elaine Cunningham,3.68,288,2007,6,2,Tor Books,Unknown Language
66,"The Changeling (Daughters of England, #15)",Philippa Carr,3.98,369,1990,28,8,Ivy Books,eng
67,The Known World,Edward P. Jones,3.83,388,2006,29,8,Amistad,eng
71,"Traders, Guns & Money: Knowns and Unknowns in the Dazzling World of Derivatives",Satyajit Das,3.83,334,2006,15,5,FT Press,eng
72,Artesia: Adventures in the Known World,Mark Smylie,4.13,352,2005,14,12,Archaia,eng
74,"The John McPhee Reader (John McPhee Reader, #1)",John McPhee,4.42,416,1982,1,6,"Farrar, Straus and Giroux",eng
75,Uncommon Carriers,John McPhee,3.95,248,2006,16,5,Farrar Straus Giroux,en-US
76,Heirs of General Practice,John McPhee,4.16,128,1986,1,4,"Farrar, Straus and Giroux",eng
77,The Control of Nature,John McPhee,4.24,288,1990,1,9,"Farrar, Straus and Giroux",en-US
78,Annals of the Former World,John McPhee,4.34,720,1999,6,1,"Farrar, Straus and Giroux",eng
79,Coming Into the Country,John McPhee,4.22,448,1991,1,4,"Farrar, Straus and Giroux",eng
80,La Place de la Concorde Suisse,John McPhee,3.92,160,1994,1,4,"Farrar, Straus and Giroux",fre
81,Giving Good Weight,John McPhee,4.22,288,1994,1,4,"Farrar, Straus and Giroux",eng
82,"The Second John McPhee Reader (John McPhee Reader, #2)",John McPhee,4.37,393,1996,28,2,"Farrar, Straus and Giroux",Unknown Language
83,Rising from the Plains,John McPhee,4.23,208,1987,1,11,"Farrar, Straus and Giroux",eng
85,The Heidi Chronicles,Wendy Wasserstein,3.75,81,2002,1,3,Dramatists Play Service,eng
86,The Heidi Chronicles: Uncommon Women and Others & Isn't It Romantic,Wendy Wasserstein,3.84,249,1991,2,7,Vintage,eng
89,"Active Literacy Across the Curriculum: Strategies for Reading, Writing, Speaking, and Listening",Heidi Hayes Jacobs,3.94,138,2006,29,3,Routledge,eng
90,Simply Beautiful Beaded Jewelry,Heidi Boyd,3.77,128,2006,14,3,North Light Books,en-US
91,Always Enough: God's Miraculous Provision Among the Poorest Children on Earth,Heidi Baker,4.46,192,2003,1,9,Chosen Books,eng
92,Mapping the Big Picture: Integrating Curriculum & Assessment K-12,Heidi Hayes Jacobs,3.66,108,1997,28,1,Association for Supervision & Curriculum Development,en-US
93,"Heidi (Heidi, #1-2)",Johanna Spyri,3.99,352,2002,15,11,Kingfisher,eng
94,Getting Results with Curriculum Mapping,Heidi Hayes Jacobs,3.25,192,2004,15,11,ASCD,eng
95,"Cinnamon and Roses (Rose Trilogy, #1)",Heidi Betts,3.83,298,2000,1,1,Leisure Books,Unknown Language
96,There's Always Enough: The Miraculous Move of God in Mozambique,Rolland Baker,4.46,192,2003,28,4,Sovereign World,eng
98,What to Expect the First Year (What to Expect),Heidi Murkoff,3.89,832,2003,16,10,Workman Publishing Company,eng
99,The Player's Handbook: The Ultimate Guide on Dating and Relationships,Heidi Fleiss,3.82,123,2004,10,5,One Hour Entertainment,eng
100,Simply Beautiful Beading: 53 Quick and Easy Projects,Heidi Boyd,3.78,128,2004,19,8,North Light Books,en-US
101,Chasing Jordan,Heidi W. Boehringer,3.44,240,2005,11,7,Serpent's Tail,Unknown Language
102,Seven-Year Seduction,Heidi Betts,3.61,184,2006,14,2,Silhouette Desire,Unknown Language
103,"God Emperor of Dune (Dune Chronicles, #4)",Frank Herbert,3.85,423,1987,15,6,Ace Books,eng
104,"Dune (Dune Chronicles, #1)",Frank Herbert,4.23,528,2005,2,8,Ace Books,eng
105,Chapterhouse: Dune (Dune Chronicles #6),Frank Herbert,3.91,436,1987,1,7,Ace Books,eng
106,Dune Messiah (Dune Chronicles #2),Frank Herbert,3.88,331,1987,15,7,Ace Books,eng
107,Dreamer of Dune: The Biography of Frank Herbert,Brian Herbert,4.01,592,2004,1,7,Tor Books,en-US
108,The Secrets of Frank Herbert's Dune,James Van Hise,3.52,160,2000,31,10,iBooks,Unknown Language
109,"Heretics of Dune (Dune Chronicles, #5)",Frank Herbert,3.86,480,1984,16,4,Putnam,eng
110,The Road to Dune,Frank Herbert,3.88,426,2006,29,8,Tor Science Fiction,eng
112,Children of Dune (Dune Chronicles #3),Frank Herbert,3.93,408,1987,15,5,Ace Books,eng
117,Heretics of Dune (Dune Chronicles #5),Frank Herbert,3.86,471,1987,15,8,Ace Books,eng
119,The Lord of the Rings: The Art of the Fellowship of the Ring,Gary Russell,4.6,192,2002,12,6,Houghton Mifflin Harcourt,eng
121,The Patriarch: The Rise and Fall of the Bingham Dynasty,Susan E. Tifft,3.67,576,1993,1,2,Touchstone,Unknown Language
122,"The Power of One (The Power of One, #1)",Bryce Courtenay,4.35,544,1996,29,9,Ballantine Books,eng
125,The Power of One: Daisy Bates and the Little Rock Nine,Dennis Brindell Fradin,4.41,192,2004,20,12,Clarion Books,Unknown Language
128,The Power of One Christlike Life,Francis Frangipane,4.22,159,2000,1,7,Whitaker House,Unknown Language
129,"The Power of One: One Person, One Rule, One Month",John C. Maxwell,4.22,256,2004,1,11,Thomas Nelson,en-US
130,Power of an Hour: Business and Life Mastery in One Hour a Week,Dave Lakhani,3.34,205,2006,19,5,Wiley,eng
131,"The Power of One: The Solo Play for Playwrights, Actors, and Directors",Louis E. Catron,3.67,240,2000,7,2,Heinemann Drama,eng
132,"How to Buy, Sell & Profit on eBay: Kick-Start Your Home-Based Business in Just Thirty Days",Adam Ginsberg,3.48,336,2005,3,5,William Morrow Paperbacks,eng
133,eBay for Dummies,Marsha Collier,3.51,386,2006,30,10,Wiley,eng
134,eBay PowerSeller Secrets: Insider Tips from eBay's Most Successful Sellers,Debra Schepp,3.59,385,2004,24,9,McGraw-Hill/Osborne,Unknown Language
135,What to Sell on ebay and Where to Get It: The Definitive Guide to Product Sourcing for eBay and Beyond,Chris Malta,3.62,260,2006,24,1,McGraw-Hill,eng
137,Starting an eBay Business for Dummies,Marsha Collier,3.55,384,2004,17,9,Wiley,eng
138,eBay: Top 100 Simplified Tips & Tricks,Julia Wilkinson,4.27,260,2006,6,6,Wiley,eng
139,ebay Timesaving Techniques for Dummies,Marsha Collier,3.39,391,2004,31,5,Wiley,en-US
140,eBay Business All-in-One Desk Reference for Dummies,Marsha Collier,3.89,864,2005,25,4,Wiley,en-US
141,Ruby Cookbook,Lucas Carlson,3.83,873,2006,29,7,O'Reilly Media,eng
142,Ruby Ann's Down Home Trailer Park Cookbook,Ruby Ann Boxcar,4.12,240,2005,3,5,Citadel,eng
144,Ruby Ann's Down Home Trailer Park BBQin' Cookbook,Ruby Ann Boxcar,4.08,206,2005,3,5,Citadel,eng
146,Ruby's Low-Fat Soul Food Cookbook,Ruby Banks-Payne,4.8,175,1996,1,9,McGraw-Hill/Contemporary Books,Unknown Language
147,Rails Cookbook: Recipes for Rapid Web Development with Ruby,Rob Orsini,3.46,514,2007,1,1,O'Reilly Media,eng
149,The Red Hot Cookbook: Create a Culinary Inferno with Flaming Good Recipes from Around the World,Ruby Le Bois,3.75,256,2000,1,12,Anness Publishing/Southwater Publishing,Unknown Language
151,Anna Karenina,Leo Tolstoy,4.05,838,2004,31,5,Penguin Classics,eng
154,CliffsNotes on Tolstoy's Anna Karenina,Marianne Sturman,3.89,80,1965,26,11,Cliffs Notes,eng
159,Dinner with Anna Karenina,Gloria Goldreich,2.98,360,2006,28,1,Mira Books,eng
160,Tolstoy: Anna Karenina,Anthony Thorlby,4.19,128,1987,26,11,Cambridge University Press,eng
162,Untouchable,Mulk Raj Anand,3.72,160,1990,3,7,Penguin Books,eng
163,The Untouchable,John Banville,3.95,368,1998,30,6,Vintage Books,eng
164,The Untouchables,Eliot Ness,3.89,256,1996,1,2,Buccaneer Books,eng
165,Untouchables: My Family's Triumphant Journey Out of the Caste System in Modern India,Narendra Jadhav,3.82,320,2005,27,9,Scribner,en-US
166,Dalit: The Black Untaouchables of India,V.T. Rajshekar,4.2,100,1995,28,1,Clarity Press,eng
167,"The Untouchables: Subordination, Poverty and the State in Modern India (Contemporary South Asia, #4)",Oliver Mendelsohn,4.0,308,1998,30,4,Cambridge University Press,Unknown Language
168,Growing Up Untouchable in India: A Dalit Autobiography,Vasant Moon,3.65,224,2000,20,12,Rowman & Littlefield Publishers,eng
170,The Book of Evidence,Peter Achinstein,3.83,304,2003,20,11,Oxford University Press,Unknown Language
171,The Evidence-Based Social Work Skills Book,Barry R. Cournoyer,3.4,216,2003,22,9,Pearson,eng
177,"A Wrinkle in Time: A Guide for Using ""A Wrinkle in Time"" in the Classroom",John Carratello,4.0,48,1991,28,9,Teacher Created Resources,eng
180,Wrinkles in Time,George Smoot,4.01,360,1994,1,10,Harper Perennial,eng
181,A Wrinkle in Time: With Related Readings (A Wrinkle in Time Quintet #1),Madeleine L'Engle,4.0,250,2002,1,5,EMC/Paradigm Publishing,eng
182,Literature Circle Guide: A Wrinkle in Time,Tara MacCarthy,3.6,32,2002,1,1,Teaching Resources,eng
183,Un raccourci dans le temps,Madeleine L'Engle,4.0,254,1997,28,4,Pocket,Unknown Language
184,Empress in the Wrinkle of Time: The Knight-King Chronicle,Valerie Metcalf Estoye,4.25,508,2000,28,8,Xlibris Corporation,Unknown Language
192,A Wrinkle in Time: L-I-T Guide,Charlotte S. Jaffe,3.91,40,1997,1,12,Educational Impressions,Unknown Language
197,A Wrinkle in Time: Teacher Guide,Anne Troy,4.14,32,1998,1,12,Novel Units,Unknown Language
201,Una arruga en el tiempo – A Wrinkle in Time,Madeleine L'Engle,4.0,205,1984,1,6,Turtleback Books,spa
204,"The Long Shadow (The Morland Dynasty, #6)",Cynthia Harrod-Eagles,4.11,367,1994,1,6,"Little, Brown Book Group",eng
205,"A Long Shadow (Inspector Ian Rutledge, #8)",Charles Todd,4.12,352,2006,3,1,William Morrow,eng
206,Vicksburg's Long Shadow: The Civil War Legacy of Race and Remembrance,Christopher Waldrep,3.29,344,2005,31,8,Rowman & Littlefield Publishers,Unknown Language
207,Long Way Round: Chasing Shadows Across the World,Ewan McGregor,3.95,320,2005,1,11,Atria Books,en-US
208,"A Shadow in Summer (Long Price Quartet, #1)",Daniel Abraham,3.61,331,2006,7,3,Tor Books,eng
213,New Hope for the Dead (Hoke Mosely #2),Charles Willeford,3.9,244,2004,10,8,Vintage Crime/Black Lizard,eng
214,Sideswipe: A Hoke Moseley Novel,Charles Willeford,4.04,215,2005,8,3,Vintage Crime/Black Lizard,eng
215,The Way We Die Now,Charles Willeford,4.06,256,2005,16,8,Vintage Crime/Black Lizard,Unknown Language
216,Miami Blues (Hoke Moseley #1),Charles Willeford,3.94,191,2004,10,8,Vintage Crime/Black Lizard,eng
218,The Woman Chaser,Charles Willeford,3.93,192,1960,1,4,Newstand Library,Unknown Language
219,The Machine in Ward Eleven,Charles Willeford,3.59,160,2001,27,8,Thunder's Mouth Press,Unknown Language
221,Wild Wives,Charles Willeford,3.68,102,2009,9,9,Vintage Crime/Black Lizard,Unknown Language
222,The Shark-Infested Custard,Charles Willeford,3.82,272,2005,6,12,Vintage Crime/Black Lizard,Unknown Language
224,The Black Mass of Brother Springer,Charles Willeford,3.97,208,2003,1,12,Wit's End Books,Unknown Language
226,Comedy after Postmodernism: Rereading Comedy from Edward Lear to Charles Willeford,Kirby Olson,4.14,184,2001,15,1,Texas Tech University Press,Unknown Language
228,Cockfighter,Charles Willeford,4.11,200,2005,1,6,Blackmask.com,Unknown Language
229,"Sideswipe (Hoke Moseley, #3)",Charles Willeford,4.04,279,1988,12,6,Ballantine Books,Unknown Language
230,The Burnt Orange Heresy (Vintage Crime/Black Lizard),Charles Willeford,3.89,144,1990,3,10,Vintage,eng
231,I am Charlotte Simmons,Tom Wolfe,3.42,738,2005,30,8,Picador USA,eng
234,The Complete Verse and Other Nonsense,Edward Lear,4.18,624,2002,29,10,Penguin Books,Unknown Language
236,The Complete Nonsense of Edward Lear,Edward Lear,4.03,287,1940,1,6,Amereon Limited,Unknown Language
237,Poetry for Young People: Edward Lear,Edward Lear,3.91,48,2001,1,10,Sterling,eng
239,An Edward Lear Alphabet,Edward Lear,3.42,32,1999,1,4,HarperCollins Publishers,Unknown Language
241,A Was Once an Apple Pie,Edward Lear,3.41,32,2005,1,9,Orchard Books,Unknown Language
242,The Owl and the Pussycat,Edward Lear,4.19,32,1996,7,5,Puffin Books,Unknown Language
243,The Pobble Who Has No Toes (Edward Lear's Little Books of Nonsense),Edward Lear,4.6,24,1986,27,3,HarperCollins Publishers,Unknown Language
244,The Puffin Book of Nonsense Verse,Quentin Blake,4.0,287,1996,3,10,Puffin,eng
245,Henry Miller on Writing,Henry Miller,4.23,217,1964,1,2,New Directions Publishing,eng
246,The Colossus of Maroussi,Henry Miller,3.98,244,1975,17,1,New Directions,Unknown Language
247,Quiet Days in Clichy,Henry Miller,3.69,154,1994,13,1,Grove Press,eng
248,Big Sur and the Oranges of Hieronymus Bosch,Henry Miller,4.02,400,1957,17,1,New Directions,Unknown Language
249,Tropic of Cancer,Henry Miller,3.68,318,1994,6,1,Grove Press,eng
250,Tropic of Capricorn,Henry Miller,3.78,348,1994,13,1,Grove Press,eng
251,"Nexus (The Rosy Crucifixion, #3)",Henry Miller,4.1,316,1994,13,1,Grove Press,eng
252,"Sexus (The Rosy Crucifixion, #1)",Henry Miller,3.98,506,1994,12,1,Grove Press,eng
253,The Air-Conditioned Nightmare,Henry Miller,3.83,292,1970,17,1,New Directions,eng
254,The Time of the Assassins:  a Study of Rimbaud,Henry Miller,3.95,160,1962,17,1,New Directions,Unknown Language
255,Public Places-Urban Spaces: The Dimensions of Urban Design,Matthew Carmona,4.1,320,2003,14,3,Architectural Press,Unknown Language
256,Behavior in Public Places,Erving Goffman,4.1,248,1966,1,9,Free Press,Unknown Language
257,Haunted Places in America: A Guide to Spooked and Spooky Public Places in the United States,Charles A. Coulombe,3.42,288,2004,1,10,Lyons Press,Unknown Language
258,"Public Places: My Life in the Theater, with Peter O'Toole and Beyond",Sian Phillips,3.85,441,2004,3,5,Faber & Faber,Unknown Language
259,Together Alone: Personal Relationships in Public Places,Calvin Morrill,3.67,320,2005,8,8,University of California Press,Unknown Language
260,Squares: A Public Place Design Guide for Urbanists,Mark C. Childs,3.78,208,2006,1,9,University of New Mexico Press,Unknown Language
261,Just in Time! Pastoral Prayers in Public Places,F. Belton Joyner Jr.,3.8,80,2006,1,3,Abingdon Press,Unknown Language
262,Pike Place Public Market Seafood Cookbook,Braiden Rex-Johnson,3.83,129,2005,1,6,Ten Speed Press,Unknown Language
263,Art for Public Places: Critical Essays,Malcolm Miles,4.25,244,1989,1,1,Winchester School of Arts Press,Unknown Language
264,The Portrait of a Lady,Henry James,3.78,797,2003,30,9,Penguin Classics,eng
267,Portrait of the Blue Lady: The Character of Melancholy,Lyn Cowan,4.22,314,2004,26,10,"Spring Journal, Inc",Unknown Language
271,New Essays on 'The Portrait of a Lady',Joel Porte,4.0,178,1990,4,12,Cambridge University Press,Unknown Language
275,The Lover,Marguerite Duras,3.74,117,1998,8,9,Pantheon Books,eng
277,Writing,Marguerite Duras,3.74,91,1999,6,5,Brookline Books,eng
278,The War,Marguerite Duras,3.85,192,1994,1,8,The New Press,eng
279,Craniosacral Therapy II: Beyond the Dura,John E. Upledger,4.35,259,1990,1,1,Eastland Press,Unknown Language
280,The Ravishing of Lol Stein,Marguerite Duras,3.66,181,1986,12,3,Pantheon,en-US
284,A Treasury of Kahlil Gibran,Kahlil Gibran,4.43,456,1976,1,1,Citadel Press,Unknown Language
285,Love Letters,Kahlil Gibran,3.7,178,1999,1,7,One World (UK),eng
286,The Prophet,Kahlil Gibran,4.23,128,1995,21,2,Knopf,Unknown Language
288,Kahlil Gibran: His Life and World,Jean Gibran,4.21,464,1998,1,4,Interlink Publishing Group,eng
289,The Beloved: Reflections on the Path of the Heart,Kahlil Gibran,4.19,102,1998,1,1,Penguin Books,eng
290,Jesus the Son of Man,Kahlil Gibran,3.98,216,1995,21,2,Knopf,eng
291,The Broken Wings,Kahlil Gibran,3.92,132,2003,3,3,Citadel,eng
292,Sand and Foam,Kahlil Gibran,4.08,100,2011,14,6,Knopf,eng
295,Treasure Island,Robert Louis Stevenson,3.83,311,2001,15,9,Kingfisher,eng
302,Treasure Island (Great Illustrated Classics),Deidre S. Laiken,4.05,232,2006,31,1,Abdo Publishing Company,eng
303,Cliffs Notes on Stevenson's Treasure Island and Kidnapped,O.L. Mishk,4.6,80,1974,24,7,Cliffs Notes,Unknown Language
305,George Eliot and Judaism: An Attempt to Appreciate 'Daniel Deronda',David Kaufmann,4.33,100,2005,1,5,University Press of the Pacific,Unknown Language
306,Daniel Deronda Notebooks,George Eliot,3.7,524,1996,28,12,Cambridge University Press,Unknown Language
309,"Daniel Deronda, V1",George Eliot,4.31,384,2003,21,7,IndyPublish.com,Unknown Language
312,Flight: 100 Years of Aviation,R.G. Grant,4.31,440,2002,16,9,DK Publishing (Dorling Kindersley),Unknown Language
313,100 Years of Lynchings,Ralph Ginzburg,4.61,270,1996,22,11,Black Classic Press,eng
314,If You Lived 100 Years Ago,Ann McGovern,3.91,80,1999,1,9,Scholastic Paperbacks,Unknown Language
315,Camp Cooking: 100 Years The National Museum of Forest Service History,National Museum of Forest Service History,4.42,192,2004,23,12,Gibbs Smith,Unknown Language
317,El Siglo del Espiritu Santo,Vinson Synan,3.79,559,2006,1,7,Vida Publishers,Unknown Language
318,The Next 100 Years: Predictions to the Nations and the Church of the 21st Century,Dennis Cramer,4.0,133,2004,1,1,Arrow Publications,Unknown Language
319,Disney,Dave   Smith,3.98,224,2003,1,2,Disney Editions,Unknown Language
323,Masterwork Studies Series: 100 Years of Solitude,Regina Janes,4.05,176,1991,1,5,Twayne Publishers,Unknown Language
324,Cien años de soledad,Gabriel García Márquez,4.07,448,1990,1,1,French & European,spa
327,Why Zebras Don't Get Ulcers,Robert M. Sapolsky,4.17,560,2004,15,9,Holt Paperbacks,Unknown Language
328,Chess for Zebras,Jonathan Rowson,4.4,255,2003,1,12,Gambit Publications,Unknown Language
329,What If the Zebras Lost Their Stripes?,John Reitano,4.14,32,1998,1,9,Paulist Press,Unknown Language
330,On Beyond Zebra!,Dr. Seuss,4.04,64,1955,12,9,Random House Books for Young Readers,eng
331,Ziggy the Zebra,Libby Ellis,4.07,14,2000,1,2,Piggy Toes Press,Unknown Language
332,The Wedding Clause,Debbie Raleigh,3.61,256,2005,7,6,Zebra,eng
333,The Zebra Wall,Kevin Henkes,3.44,147,2005,15,2,Greenwillow Books,eng
334,"""A"" Is for Zebra",Mark Shulman,3.78,32,2006,28,4,Sterling,Unknown Language
335,Lots and Lots of Zebra Stripes,Stephen R. Swinburne,3.74,32,2002,1,3,Boyds Mills Press,Unknown Language
337,El perfume: Historia de un asesino,Patrick Süskind,4.02,239,2002,1,6,Booket,spa
339,"Perfumes, Splashes  Colognes: Discovering and Crafting Your Personal Fragrances",Nancy M. Booth,3.65,176,1997,11,1,"Storey Publishing, LLC",Unknown Language
340,Wonderful World of Collecting Perfume Bottles: Identification & Value Guide,Jane Flanagan,4.09,176,2006,1,4,Collector Books,Unknown Language
344,Scents & Sensibilities: Creating Solid Perfumes for Well-Being,Mandy Aftel,3.85,96,2005,7,6,Gibbs Smith,Unknown Language
348,The Door Into Summer,Robert A. Heinlein,4.01,304,1997,17,6,Del Rey,eng
350,Stranger in a Strange Land,Robert A. Heinlein,3.92,528,1991,1,10,Ace,eng
353,Time Enough for Love,Robert A. Heinlein,3.97,589,1988,15,8,Ace,eng
354,To Sail Beyond the Sunset,Robert A. Heinlein,3.87,434,1988,1,6,Ace Books,en-US
355,Job: A Comedy of Justice,Robert A. Heinlein,3.78,439,1985,12,10,Del Rey,en-US
356,"Time for the Stars (Heinlein's Juveniles, #10)",Robert A. Heinlein,3.97,256,2006,8,8,Tor Books,eng
357,"The Long Dark Tea-Time of the Soul (Dirk Gently, #2)",Douglas Adams,4.06,307,1991,15,2,Pocket Books,eng
359,"The Salmon of Doubt (Dirk Gently, #3)",Douglas Adams,3.93,298,2005,26,4,Del Rey,eng
362,Wish You Were Here: The Official Biography of Douglas Adams,Nick  Webb,4.14,368,2005,27,12,Del Rey,eng
365,"Dirk Gently's Holistic Detective Agency (Dirk Gently, #1)",Douglas Adams,3.98,306,2002,1,1,Pocket Books,eng
366,Velvet: A Novel of Suspense,Alec Kalla,2.5700000000000003,221,1993,1,6,Foul Play Press,Unknown Language
367,Douglas Adams's Starship Titanic,Terry Jones,3.6,256,1998,27,10,Ballantine Books,eng
372,The Salmon of Doubt: Hitchhiking the Galaxy One Last Time,Douglas Adams,3.93,7,2006,1,1,Phoenix Audio,Unknown Language
374,Salmon Doubts,Adam Sacks,3.25,128,2004,20,7,Alternative Comics,Unknown Language
377,Salmon of Doubt: Hitchhiking the Galaxy One Last Time,Douglas Adams,3.93,336,2003,1,7,Turtleback Books,eng
379,A Guide for Using the Phantom Tollbooth in the Classroom,Kathleen L. Bulloch,4.25,48,1994,1,3,Teacher Created Resources,Unknown Language
380,A Colorful Symphony: Full Score,Robert Xavier Rodríguez,5.0,68,1997,1,5,"G. Schirmer, Inc.",Unknown Language
382,The Phantom Tollbooth: A Children's Play in Two Acts,Susan Nanus,4.11,72,2011,12,1,"Samuel French, Inc.",eng
385,On Bullshit,Harry G. Frankfurt,3.5700000000000003,67,2005,30,1,Princeton University Press,eng
386,Another Bullshit Night in Suck City,Nick Flynn,3.79,347,2005,12,9,W. W. Norton & Company,eng
387,100 Bullshit Jobs...And How to Get Them,Stanley Bing,3.19,320,2006,2,5,Harper Business,Unknown Language
388,The Business of Bullshit,Graham Edmonds,3.47,193,2006,30,5,Plume,Unknown Language
389,Bullshit Artist: The 9/11 Leadership Myth,Ron Schalow,4.67,326,2006,28,3,Booksurge Publishing,Unknown Language
390,Your Call Is Important to Us: The Truth About Bullshit,Laura Penny,3.42,272,2006,23,5,Broadway Books,Unknown Language
392,"Bullets, Badges, and Bullshit",Phil T. O'Brien,5.0,444,2006,6,3,PublishAmerica,Unknown Language
393,"Hello, Lied the Agent: And Other Bullshit You Hear as a Hollywood TV Writer",Ian Gurvitz,3.34,342,2006,1,9,Phoenix Books and Audio,Unknown Language
394,Lincoln at Gettysburg: The Words That Remade America,Garry Wills,4.14,317,1993,12,6,Simon & Schuster,en-US
395,Lincoln's Gettysburg Address in Translation,Abraham Lincoln,4.53,36,1972,31,12,Library of Congress,Unknown Language
397,The Gettysburg Address,Abraham Lincoln,4.53,32,1998,2,2,HMH Books for Young Readers,eng
398,The Battle of Gettysburg and Lincoln's Gettyburg Address,Carin T. Ford,4.14,48,2004,1,5,Enslow Elementary,Unknown Language
